Masa,Radio,rho_m
4.743443788880010e-01,2.710588626291456e+00,1.122754959051082e+17
4.478856756300085e-01,2.567777384093015e+00,1.185844810618893e+17
4.230091780067763e-01,2.432443799472415e+00,1.252479807401840e+17
3.996058045071063e-01,2.304200346229278e+00,1.322859158215350e+17
3.775757492697780e-01,2.182679235775726e+00,1.397193265817479e+17
3.568275376275507e-01,2.067531441939172e+00,1.475704355918984e+17
3.372771724990042e-01,1.958425771276823e+00,1.558627141538732e+17
3.188473867270771e-01,1.855047977025200e+00,1.646209524690574e+17
3.014669701561782e-01,1.757099914860456e+00,1.738713337499404e+17
2.850701514389176e-01,1.664298738699314e+00,1.836415124962025e+17
2.695961076578010e-01,1.576376134825443e+00,1.939606971692908e+17
2.549884736612483e-01,1.493077592681593e+00,2.048597375126461e+17
2.411949410145010e-01,1.414161710723581e+00,2.163712167786270e+17
2.281668842019704e-01,1.339399535787849e+00,2.285295491378514e+17
2.158590353658950e-01,1.268573934479583e+00,2.413710825621630e+17
2.042291973559547e-01,1.201478995143095e+00,2.549342074887981e+17
1.932379826934784e-01,1.137919459030083e+00,2.692594715906103e+17
1.828485818097322e-01,1.077710179334397e+00,2.843897009954632e+17
1.730265558694606e-01,1.020675606813948e+00,3.003701283171847e+17
1.637396477140450e-01,9.666493007711728e-01,3.172485278808366e+17
1.549576190448912e-01,9.154734642131034e-01,3.350753585465636e+17
1.466520963945306e-01,8.669985020603828e-01,3.539039145590001e+17
1.387964348406437e-01,8.210826013215485e-01,3.737904848732079e+17
1.313655942876578e-01,7.775913321944690e-01,3.947945214334582e+17
1.243360242380513e-01,7.363972691010433e-01,4.169788169079340e+17
1.176855642864612e-01,6.973796307040200e-01,4.404096924107039e+17
1.113933505950108e-01,6.604239379961555e-01,4.651571957721679e+17
1.054397261561151e-01,6.254216895918818e-01,4.912953109507183e+17
9.980616606478863e-02,5.922700533901566e-01,5.189021792116605e+17
9.447520219684646e-02,5.608715738143260e-01,5.480603327346221e+17
8.943035833042319e-02,5.311338938705712e-01,5.788569413478287e+17
8.465608703675465e-02,5.029694913009181e-01,6.113840731268749e+17
8.013771352908994e-02,4.762954281398612e-01,6.457389696370616e+17
7.586138224550637e-02,4.510331130154299e-01,6.820243366421523e+17
7.181400780208759e-02,4.271080755660214e-01,7.203486511486369e+17
6.798322925246168e-02,4.044497523735949e-01,7.608264857034281e+17
6.435736753082590e-02,3.829912838418861e-01,8.035788509144959e+17
6.092538584725378e-02,3.626693214751829e-01,8.487335572184223e+17
5.767685227795343e-02,3.434238450389679e-01,8.964255969764004e+17
5.460190553422884e-02,3.251979891083834e-01,9.467975480409740e+17
5.169122170307628e-02,3.079378785340766e-01,1.000000000000000e+18
