Masa,Radio,rho_m
2.205722830781894e+00,1.105412718330738e+01,1.830008915833530e+16
2.212512243096430e+00,1.107505553729339e+01,1.937649866207439e+16
2.219104901372176e+00,1.109402281613351e+01,2.051622247044401e+16
2.225436274023069e+00,1.111098800693376e+01,2.172298472482076e+16
2.122783816092799e+00,1.051641204379485e+01,2.300072862022262e+16
2.003238282446994e+00,9.942785696986004e+00,2.435362929002351e+16
1.882273983051340e+00,9.400070601302330e+00,2.578610744854527e+16
1.764658861092593e+00,8.886636198948702e+00,2.730284383610571e+16
1.652493373901467e+00,8.400934557756031e+00,2.890879451372293e+16
1.546673735948920e+00,7.941496528927284e+00,3.060920705745274e+16
1.447474827777248e+00,7.506928045178220e+00,3.240963770527545e+16
1.354836296331304e+00,7.095906559011465e+00,3.431596951256090e+16
1.268515851831968e+00,6.707177620047391e+00,3.633443157543624e+16
1.188178178002390e+00,6.339551589662752e+00,3.847161938487035e+16
1.113445007862730e+00,5.991900490637500e+00,4.073451637798361e+16
1.043927239295581e+00,5.663154989065323e+00,4.313051675700358e+16
9.792417851042040e-01,5.352301505428873e+00,4.566744965042962e+16
9.190223556743236e-01,5.058379451463715e+00,4.835360469535473e+16
8.629242478228895e-01,4.780478589224058e+00,5.119775912453730e+16
8.106271148150485e-01,4.517736508609315e+00,5.420920644673176e+16
7.618353626423787e-01,4.269336219503888e+00,5.739778681399401e+16
7.162776267220936e-01,4.034503854617213e+00,6.077391917518654e+16
6.737055862338577e-01,3.812506479078962e+00,6.434863532075440e+16
6.338924038644129e-01,3.602650002842827e+00,6.813361593000689e+16
5.966311435603545e-01,3.404277191972277e+00,7.214122873869931e+16
5.617329925200286e-01,3.216765774923975e+00,7.638456895162776e+16
5.290257079882019e-01,3.039526640001669e+00,8.087750203228896e+16
4.983519801130398e-01,2.872002120224562e+00,8.563470900942371e+16
4.695680121176452e-01,2.713664361935918e+00,9.067173444848704e+16
4.425422236774953e-01,2.564013773567922e+00,9.600503724479552e+16
4.171540211116541e-01,2.422577551075578e+00,1.016520444043229e+17
3.932927239330555e-01,2.288908276654389e+00,1.076312079878766e+17
3.708565928890169e-01,2.162582587461812e+00,1.139620654047260e+17
3.497519479497485e-01,2.043199911170209e+00,1.206653032526953e+17
3.298923997040011e-01,1.930381265288168e+00,1.277628249133251e+17
3.111981585231260e-01,1.823768117296601e+00,1.352778221229751e+17
2.935954049796152e-01,1.723021302755440e+00,1.432348507537319e+17
2.770157440391426e-01,1.627819998645333e+00,1.516599110517425e+17
2.613957187879238e-01,1.537860749316063e+00,1.605805325951594e+17
2.466763702462236e-01,1.452856542518931e+00,1.700258642493052e+17
2.328028436162861e-01,1.372535933104066e+00,1.800267694129826e+17
2.197240451734714e-01,1.296642212064441e+00,1.906159268671863e+17
2.073923207053528e-01,1.224932618707897e+00,2.018279375556911e+17
1.957631846400265e-01,1.157177593833440e+00,2.136994376464992e+17
1.847950628984209e-01,1.093160071882342e+00,2.262692182435289e+17
1.744490669936939e-01,1.032674810124194e+00,2.395783521397415e+17
1.646887878301785e-01,9.755277530258225e-01,2.536703280258738e+17
1.554801128080382e-01,9.215354300351928e-01,2.685911925933151e+17
1.467910561751853e-01,8.705243850939283e-01,2.843897009954632e+17
1.385916069616013e-01,8.223306362704194e-01,3.011174761592011e+17
1.308535888607121e-01,7.767991639809725e-01,3.188291774670613e+17
1.235505346528616e-01,7.337834263389436e-01,3.375826793612581e+17
1.166575690663913e-01,6.931449002414309e-01,3.574392604531924e+17
1.101513022926140e-01,6.547526468699039e-01,3.784638037563591e+17
1.040097321339968e-01,6.184829003451486e-01,4.007250086969360e+17
9.821215374638502e-02,5.842186783382637e-01,4.242956155948145e+17
9.273907682130290e-02,5.518494134981072e-01,4.492526433485834e+17
8.757214787738887e-02,5.212706046117567e-01,4.756776411011212e+17
8.269407960234564e-02,4.923834864681928e-01,5.036569547081385e+17
7.808858474693499e-02,4.650947174467229e-01,5.332820088803492e+17
7.374031439299902e-02,4.393160839004924e-01,5.646496059212863e+17
6.963480154352666e-02,4.149642204523986e-01,5.978622420367382e+17
6.575840701097345e-02,3.919603453649305e-01,6.330284422495875e+17
6.209827052159617e-02,3.702300101882827e-01,6.702631150142360e+17
5.864226449745875e-02,3.497028629313541e-01,7.096879276894447e+17
5.537895000785849e-02,3.303124240389235e-01,7.514317040964443e+17
5.229753722418487e-02,3.119958744949833e-01,7.956308454613782e+17
4.938784677491877e-02,2.946938554072026e-01,8.424297761175377e+17
4.664027450376361e-02,2.783502784607491e-01,8.919814154237622e+17
4.404575845315799e-02,2.629121466613677e-01,9.444476774410333e+17
4.159574682918562e-02,2.483293848177068e-01,1.000000000000000e+18
