Masa,Radio,rho_m
2.665528158758367e+00,1.155865913263441e+01,1.897312568768677e+15
2.633748983073288e+00,1.142859224187587e+01,2.004540607082364e+15
2.601030307626262e+00,1.130140701808050e+01,2.117828718148348e+15
2.567383074382998e+00,1.117616638374313e+01,2.237519391508940e+15
2.534767259253729e+00,1.106117392214138e+01,2.363974472758966e+15
2.501067750654923e+00,1.094573804890702e+01,2.497576257467568e+15
2.468903747350144e+00,1.084171533102402e+01,2.638728646923825e+15
2.436333247955118e+00,1.073899211822491e+01,2.787858369200107e+15
2.404826271712982e+00,1.064419418020904e+01,2.945416269224826e+15
2.374128637235497e+00,1.055549051548802e+01,3.111878671764628e+15
2.344684719338524e+00,1.047464689616654e+01,3.287748821436422e+15
2.316225048201838e+00,1.039973940363441e+01,3.473558404102882e+15
2.289101049963524e+00,1.033213005568789e+01,3.669869154250760e+15
2.263046328953863e+00,1.026987485409750e+01,3.877274553211249e+15
2.238341218670829e+00,1.021402733471580e+01,4.096401623356683e+15
2.215195028156334e+00,1.016530469357216e+01,4.327912823697598e+15
2.193754438850339e+00,1.012413485113247e+01,4.572508052610733e+15
2.174119712132026e+00,1.009069917654234e+01,4.830926763752854e+15
2.155955927202417e+00,1.006272293890009e+01,5.103950201557036e+15
2.139352372663782e+00,1.004034749282669e+01,5.392403763069512e+15
2.124361088338730e+00,1.002353914356063e+01,5.697159493267671e+15
2.111002158391862e+00,1.001211917979183e+01,6.019138721402840e+15
2.099584826214297e+00,1.000761586404925e+01,6.359314846337725e+15
2.089734146159112e+00,1.000762620824419e+01,6.718716279299499e+15
2.081404226055162e+00,1.001169907482639e+01,7.098429552944795e+15
2.074802378273446e+00,1.002088665646735e+01,7.499602606135576e+15
2.069809683428790e+00,1.003440207688094e+01,7.923448254356819e+15
2.066300671566737e+00,1.005145665888792e+01,8.371247856267471e+15
2.064140148304134e+00,1.007127016368929e+01,8.844355187468975e+15
2.063187261705551e+00,1.009307939181133e+01,9.344200533203008e+15
2.063507642747635e+00,1.011734220912281e+01,9.872295012351124e+15
2.064920026794347e+00,1.014316378830276e+01,1.043023514580811e+16
2.067435482581420e+00,1.017077886940713e+01,1.101970768304072e+16
2.070666341591187e+00,1.019821374631678e+01,1.164249470142298e+16
2.074783542740621e+00,1.022668252937753e+01,1.230047899376410e+16
2.079565304937143e+00,1.025521973563852e+01,1.299564976031625e+16
2.084799503622941e+00,1.028294754345857e+01,1.373010862247131e+16
2.090585096872714e+00,1.031072078002501e+01,1.450607597632541e+16
2.096543140959465e+00,1.033678872467387e+01,1.532589770531971e+16
2.102884434778087e+00,1.036262903726308e+01,1.619205227225227e+16
2.109233824280818e+00,1.038653484451701e+01,1.710715821209919e+16
2.115634831724435e+00,1.040905761054794e+01,1.807398204829799e+16
2.121980452667453e+00,1.042993821971011e+01,1.909544665642705e+16
2.128276466204280e+00,1.044949550729342e+01,2.017464010056331e+16
2.134290034925749e+00,1.046678144371253e+01,2.131482496903326e+16
2.140122396084921e+00,1.048258201775100e+01,2.251944823778235e+16
2.076080758672136e+00,1.015817828296741e+01,2.379215169117870e+16
1.956828590409984e+00,9.624424638839288e+00,2.513678293175613e+16
1.838206954258166e+00,9.118384869618211e+00,2.655740701218280e+16
1.724193102233563e+00,8.638649781178652e+00,2.805831872461764e+16
1.616255074762411e+00,8.183879071573800e+00,2.964405558460865e+16
1.514873966729187e+00,7.752798233792227e+00,3.131941154878810e+16
1.420068959106956e+00,7.344195568856168e+00,3.308945150783150e+16
1.331629391955821e+00,6.956919308853731e+00,3.495952659849674e+16
1.249231509578028e+00,6.589874848938280e+00,3.693529038103706e+16
1.172501815787135e+00,6.242022086865609e+00,3.902271593089023e+16
1.101051597984612e+00,5.912372868255630e+00,4.122811389631712e+16
1.034497180587261e+00,5.599988535454970e+00,4.355815157658402e+16
9.724706234572612e-01,5.303977577629002e+00,4.601987307836002e+16
9.146254482694763e-01,5.023493379514333e+00,4.862072061126785e+16
8.606392050165451e-01,4.757732066112744e+00,5.136855698697224e+16
