n,P,E
1.598592973008396e+45,5.702549265242161e-02,7.144105696849767e-02
1.674319757611468e+45,6.265137216981716e-02,7.765683027380216e-02
1.753633788000770e+45,6.881484020670198e-02,8.444599413630988e-02
1.836704995230396e+45,7.556737737143256e-02,9.186236789256058e-02
1.923711360141065e+45,8.296542107520140e-02,9.996487372940058e-02
2.014839294685739e+45,9.107084363321306e-02,1.088180242813237e-01
2.110284041318985e+45,9.995147659494526e-02,1.184924570434819e-01
2.210250091305759e+45,1.096816857754723e-01,1.290655201114534e-01
2.314951622845867e+45,1.203430018930780e-01,1.406219141944115e-01
2.424612959952758e+45,1.320248121936078e-01,1.532543963260295e-01
2.539469053069837e+45,1.448251189632535e-01,1.670645512213456e-01
2.659765982453986e+45,1.588513714032052e-01,1.821636368023855e-01
2.785761485404827e+45,1.742213779667354e-01,1.986735110454937e-01
2.917725508469301e+45,1.910643069471641e-01,2.167276479944367e-01
3.055940785804681e+45,2.095217838596960e-01,2.364722515413346e-01
3.200703444939152e+45,2.297490949877704e-01,2.580674764087987e-01
3.352323641227820e+45,2.519165073724098e-01,2.816887666784219e-01
3.511126222363470e+45,2.762107165188812e-01,3.075283232107682e-01
3.677451424365795e+45,3.028364341873135e-01,3.357967123987931e-01
3.851655600540319e+45,3.320181298321077e-01,3.667246298995540e-01
4.034111984968454e+45,3.640019405692215e-01,4.005648343083599e-01
4.225211492165383e+45,3.990577659923141e-01,4.375942671867991e-01
4.425363554617839e+45,4.374815657397982e-01,4.781163774428404e-01
4.634996999997103e+45,4.795978794499027e-01,5.224636698023701e-01
4.854560969926317e+45,5.257625906434661e-01,5.710004990206093e-01
5.084525882270619e+45,5.763659581615234e-01,6.241261335760907e-01
5.325384439011836e+45,6.318359410743249e-01,6.822781148867929e-01
5.577652681867102e+45,6.926418454899506e-01,7.459359406073504e-01
5.841871097913073e+45,7.592983244456338e-01,8.156251033295161e-01
6.118605777584565e+45,8.323697650869716e-01,8.919215190389497e-01
6.408449627528617e+45,9.124751006551031e-01,9.754563830057040e-01
6.712023640912542e+45,1.000293088438316e+00,1.066921494432160e+00
7.029978227907617e+45,1.096568098833311e+00,1.167075095181567e+00
7.362994609198974e+45,1.202116465036858e+00,1.276748272297156e+00
7.711786275507310e+45,1.317833447688263e+00,1.396851978833522e+00
8.077100516249444e+45,1.444700874048010e+00,1.528384732799716e+00
8.459720020612906e+45,1.583795517073304e+00,1.672441059802459e+00
8.860464554474865e+45,1.736298286086595e+00,1.830220751327735e+00
9.280192716758358e+45,1.903504307682549e+00,2.003039017563834e+00
9.719803778987937e+45,2.086833983141886e+00,2.192337621308198e+00
1.018023961198824e+46,2.287845116983921e+00,2.399697087881375e+00
1.066248670385047e+46,2.508246220460626e+00,2.626850095160789e+00
1.116757827349255e+46,2.749911103859438e+00,2.875696157931279e+00
1.169659648434032e+46,3.014894882518729e+00,3.148317731806943e+00
1.225067476287285e+46,3.305451533568374e+00,3.446997874109728e+00
1.283100022699929e+46,3.624053153689864e+00,3.774239612395907e+00
1.343881622947014e+46,3.973411082760136e+00,4.132787185916577e+00
1.407542502177215e+46,4.356499074225850e+00,4.525649341307743e+00
1.474219054421439e+46,4.776578710586939e+00,4.956124881366176e+00
1.544054134818312e+46,5.237227281600036e+00,5.427830685029430e+00
1.617197365682655e+46,5.742368363909437e+00,5.944732437807775e+00
1.693805457072697e+46,6.296305363955003e+00,6.511178335091897e+00
1.774042542542845e+46,6.903758311393106e+00,7.131936046183515e+00
1.858080530801363e+46,7.569904218113738e+00,7.812233254781953e+00
1.946099474026393e+46,8.300421348485200e+00,8.557802122249379e+00
2.038287953629434e+46,9.101537779967295e+00,9.374928053530949e+00
